Age,AnnualIncome,CreditScore,EducationLevel,Experience,LoanAmount,LoanDuration,NumberOfDependents,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,RiskScore,EmploymentStatus_Self-Employed,EmploymentStatus_Unemployed,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Widowed,HomeOwnershipStatus_Other,HomeOwnershipStatus_Own,HomeOwnershipStatus_Rent,LoanPurpose_Debt Consolidation,LoanPurpose_Education,LoanPurpose_Home,LoanPurpose_Other,LoanApproved
50,34402,504,1,27,16368,36,3,210,0,4,1,0,0,0,23,18,3580,593,72186,17083,2866,0,6,55103,0,0,657,0,55,0,0,0,1,0,0,0,1,0,0,1,0,0
39,51561,612,1,15,24926,84,0,628,0,2,0,0,0,0,24,14,454,525,109968,77770,4296,0,6,32198,0,0,643,0,55,0,0,1,0,0,0,0,1,1,0,0,0,0
23,119497,440,1,0,28380,96,3,296,0,1,0,0,0,0,27,3,5630,305,196736,16656,9958,0,5,180080,0,0,824,0,50,0,0,0,0,0,0,1,0,0,0,1,0,0
38,28425,616,2,16,9736,72,0,289,0,3,2,0,0,0,26,22,1629,1346,65039,107402,2368,0,8,10354,0,0,254,0,50,0,0,1,0,0,0,1,0,0,0,0,1,0
43,55821,596,4,23,33557,48,0,438,0,2,1,0,0,0,20,22,2914,947,29112,25916,4651,0,2,3196,0,0,1097,0,53,0,0,1,0,0,0,0,0,0,1,0,0,0
35,33059,547,1,12,15333,12,1,696,0,4,0,0,0,0,19,12,11110,657,11767,23511,2754,0,3,6765,0,0,1423,0,53,0,0,1,0,0,0,0,0,0,0,1,0,0
18,52819,532,3,0,21737,36,0,419,0,4,1,0,0,0,16,21,4016,382,153069,27775,4401,0,5,125294,0,0,835,0,46,0,0,0,1,0,0,0,0,0,0,0,1,0
41,136768,554,1,20,47306,60,2,329,0,4,1,0,0,0,29,8,4843,2288,140760,109753,11397,0,3,31007,0,0,1350,0,39,0,0,0,1,0,0,0,0,0,1,0,0,1
46,32166,457,1,21,21413,36,0,182,0,3,0,0,1,0,20,19,4971,1881,151065,6017,2680,0,7,145048,0,0,838,0,70,0,1,0,1,0,0,0,0,0,1,0,0,0
37,54348,544,3,14,22597,36,2,389,0,2,1,0,0,0,25,8,3530,2192,88517,26650,4529,0,5,61867,0,0,886,0,48,0,0,0,1,0,0,0,0,0,1,0,0,0
