Feature,Importance
RiskScore,698
InterestRate,409
TotalDebtToIncomeRatio,385
CreditScore,345
AnnualIncome,249
LoanAmount,140
NetWorth,124
LoanDuration,104
LengthOfCreditHistory,91
EducationLevel,81
EmploymentStatus_Self-Employed,81
Age,78
MonthlyDebtPayments,45
TotalAssets,36
BaseInterestRate,35
MonthlyLoanPayment,34
EmploymentStatus_Unemployed,19
HomeOwnershipStatus_Own,11
LoanPurpose_Education,8
HomeOwnershipStatus_Rent,6
LoanPurpose_Debt Consolidation,6
LoanPurpose_Home,6
MaritalStatus_Married,5
HomeOwnershipStatus_Other,2
MaritalStatus_Single,1
MaritalStatus_Widowed,1
LoanPurpose_Other,0
